ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
10,"$60,000-$74,999",2015,"2015",11634324,35808,"United States","01000US","united-states",0.09950133975412975
6,"$35,000-$39,999",2015,"2015",1490,225.99999999999997,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.03158184785603765
9,"$50,000-$59,999",2015,"2015",9192915,22197,"United States","01000US","united-states",0.07862144450729029
7,"$40,000-$44,999",2015,"2015",2326,298,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04930159604908964
0,"< $10,000",2015,"2015",5330,424,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.11297399266622862
8,"$45,000-$49,999",2015,"2015",1689,254,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.03579982619385744
7,"$40,000-$44,999",2015,"2015",5428388,16329,"United States","01000US","united-states",0.04642572088462044
9,"$50,000-$59,999",2015,"2015",3299,343,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.06992517857521355
6,"$35,000-$39,999",2015,"2015",5436927,15238,"United States","01000US","united-states",0.04649874978945071
10,"$60,000-$74,999",2015,"2015",4101,341,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.08692426715275864
5,"$30,000-$34,999",2015,"2015",5951926,15584.000000000002,"United States","01000US","united-states",0.05090322489879416
11,"$75,000-$99,999",2015,"2015",5117,431,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.10845927213378834
4,"$25,000-$29,999",2015,"2015",5852048,17935,"United States","01000US","united-states",0.05004902874507152
12,"$100,000-$124,999",2015,"2015",3991,342,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.08459272133788338
3,"$20,000-$24,999",2015,"2015",6227524,15413,"United States","01000US","united-states",0.05326024798269303
13,"$125,000-$149,999",2015,"2015",2599,308,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.05508806884418915
2,"$15,000-$19,999",2015,"2015",6139644,16066,"United States","01000US","united-states",0.05250866346969572
14,"$150,000-$199,999",2015,"2015",3205,296,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.06793276669704741
1,"$10,000-$14,999",2015,"2015",6161477,15350.000000000002,"United States","01000US","united-states",0.05269538791976707
15,"$200,000+",2015,"2015",3398,278,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.07202356980860128
0,"< $10,000",2014,"2014",4815,401,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.10355506806890767
8,"$45,000-$49,999",2014,"2014",1603,259,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.03447534249521474
4,"$25,000-$29,999",2014,"2014",2038,267,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04383078478181388
2,"$15,000-$19,999",2014,"2014",2136,321,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04593844764178334
7,"$40,000-$44,999",2014,"2014",5431366,14063,"United States","01000US","united-states",0.0467370705027021
9,"$50,000-$59,999",2014,"2014",3336,269,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.07174656429447061
1,"$10,000-$14,999",2014,"2014",2040,307,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04387379830956836
11,"$75,000-$99,999",2014,"2014",14125429,47784,"United States","01000US","united-states",0.12154974845258316
6,"$35,000-$39,999",2014,"2014",5456901,15294,"United States","01000US","united-states",0.04695679995847556
10,"$60,000-$74,999",2014,"2014",4406,432,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.09475880164311676
5,"$30,000-$34,999",2014,"2014",2362,311,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.05079897627803944
0,"< $10,000",2014,"2014",8395338,16627,"United States","01000US","united-states",0.07224214019088643
5,"$30,000-$34,999",2014,"2014",5933726,15136.999999999998,"United States","01000US","united-states",0.05105989366316255
11,"$75,000-$99,999",2014,"2014",4960,346,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.10667354883110738
13,"$125,000-$149,999",2014,"2014",5713601,31533,"United States","01000US","united-states",0.04916571130748862
10,"$60,000-$74,999",2014,"2014",11540101,29474.000000000004,"United States","01000US","united-states",0.09930292196204472
4,"$25,000-$29,999",2014,"2014",5936983,15704.000000000002,"United States","01000US","united-states",0.05108792024775053
12,"$100,000-$124,999",2014,"2014",3949,306,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.08493021055121835
6,"$35,000-$39,999",2014,"2014",1481,215.00000000000003,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.03185151730219154
3,"$20,000-$24,999",2014,"2014",2036,258,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.0437877712540594
3,"$20,000-$24,999",2014,"2014",6176944,17017,"United States","01000US","united-states",0.05315279198994189
13,"$125,000-$149,999",2014,"2014",2594,279,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.05578854549755898
15,"$200,000+",2014,"2014",5845378,32351,"United States","01000US","united-states",0.05029965642178115
9,"$50,000-$59,999",2014,"2014",9179218,24284,"United States","01000US","united-states",0.07898745155927113
2,"$15,000-$19,999",2014,"2014",6225984,18669,"United States","01000US","united-states",0.05357478268941832
14,"$150,000-$199,999",2014,"2014",3059,299,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.0657891907004753
7,"$40,000-$44,999",2014,"2014",2258,337,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04856227283480655
14,"$150,000-$199,999",2014,"2014",5857717,33034,"United States","01000US","united-states",0.05040583389406581
1,"$10,000-$14,999",2014,"2014",6189386,15777,"United States","01000US","united-states",0.05325985578037594
15,"$200,000+",2014,"2014",3424,310,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.07363915951566767
12,"$100,000-$124,999",2014,"2014",9410154,45348,"United States","01000US","united-states",0.08097466290050867
8,"$45,000-$49,999",2014,"2014",4792866,14866,"United States","01000US","united-states",0.041242758479543416
4,"$25,000-$29,999",2013,"2013",5929562,13959.000000000002,"United States","01000US","united-states",0.05128925630586141
1,"$10,000-$14,999",2013,"2013",6214548,16925,"United States","01000US","united-states",0.05375431527608252
10,"$60,000-$74,999",2013,"2013",4342,408,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.09439951300113053
5,"$30,000-$34,999",2013,"2013",2307,300,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.050156535350900075
1,"$10,000-$14,999",2013,"2013",1986,269,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04317766762327159
11,"$75,000-$99,999",2013,"2013",14107031,52951,"United States","01000US","united-states",0.12202235657097985
14,"$150,000-$199,999",2013,"2013",5651848,31873,"United States","01000US","united-states",0.04888709835123913
11,"$75,000-$99,999",2013,"2013",4702,441,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.10222628054613445
7,"$40,000-$44,999",2013,"2013",5465384,13996,"United States","01000US","united-states",0.04727423050571932
6,"$35,000-$39,999",2013,"2013",1524,234.00000000000003,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.033133315940516564
9,"$50,000-$59,999",2013,"2013",9249964,20676,"United States","01000US","united-states",0.08000991884661819
2,"$15,000-$19,999",2013,"2013",2256,322,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04904774328202453
12,"$100,000-$124,999",2013,"2013",3827,329,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.08320288720758327
2,"$15,000-$19,999",2013,"2013",6236898,17145,"United States","01000US","united-states",0.05394763729184625
0,"< $10,000",2013,"2013",8380364,19177,"United States","01000US","united-states",0.07248809222880441
7,"$40,000-$44,999",2013,"2013",2273,317,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.049417340638316376
15,"$200,000+",2013,"2013",5532628,32847,"United States","01000US","united-states",0.04785587460540684
13,"$125,000-$149,999",2013,"2013",2447,304,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.053200278285068264
12,"$100,000-$124,999",2013,"2013",9285899,44286,"United States","01000US","united-states",0.08032074777889871
3,"$20,000-$24,999",2013,"2013",1996,298,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04339507783285503
6,"$35,000-$39,999",2013,"2013",5410067,15255.999999999998,"United States","01000US","united-states",0.04679575202938813
8,"$45,000-$49,999",2013,"2013",1750,242,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.03804678667710236
14,"$150,000-$199,999",2013,"2013",2912,333,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.06330985303069832
3,"$20,000-$24,999",2013,"2013",6231706,17720,"United States","01000US","united-states",0.053902727765857646
10,"$60,000-$74,999",2013,"2013",11494081,28807.999999999996,"United States","01000US","united-states",0.09942098023586428
8,"$45,000-$49,999",2013,"2013",4847697,14804,"United States","01000US","united-states",0.04193138952356944
4,"$25,000-$29,999",2013,"2013",2086,294,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04535176971910601
15,"$200,000+",2013,"2013",3127,275,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.06798417253674233
9,"$50,000-$59,999",2013,"2013",3492,404,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.07591964518653796
13,"$125,000-$149,999",2013,"2013",5572340,31574,"United States","01000US","united-states",0.04819937366088824
5,"$30,000-$34,999",2013,"2013",6000199,15505.999999999998,"United States","01000US","united-states",0.05190024902297562
0,"< $10,000",2013,"2013",4969,382,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.10803113314201235
